feature,mean_raw,std_raw,mutual_info,gain_importance,pi_mean,pi_std
Tot_sum,0.15086871,1.7008432,0.5939899681775693,492.6451304499159,0.036714285714285706,0.05201711300477443
HTTP,0.21,0.40730807,0.20147612030039452,0.0,0.0,0.0
IGMP,0.0,0.0,0.0,0.0,0.0,0.0
DHCP,0.0,0.0,0.0,0.0,0.0,0.0
DNS,0.13,0.33630347,0.009597249008030051,0.0,0.0,0.0
ICMP,0.17,0.3756329,0.2275334318595612,0.0,0.0,0.0
SSH,0.04,0.1959592,0.1139261680306376,0.0,0.0,0.0
Variance,0.043428507,0.61562735,0.39744096828733433,319.0989714888145,-0.02238095238095238,0.04027513088495745
IAT,-0.00094232365,0.0002772694,0.5771201874645602,435.75647684677597,-0.07716269841269839,0.058978725784066564
Rate,-0.05774443,1.296976,0.5665886360299592,532.2706321814594,-0.11196031746031745,0.059269233913450625
